GEOID,coniferPct,ripariaPct,hardwooPct,coniHarPct,forestPct,devPct,sumCarPeKm,pct_nonWhi,categ
131339504001,40.128,1.797,10.021,18.699,70.645,13.872,34.403,55.222,Majority white
130510108142,2.109,61.599,0.661,0.851,65.22,29.46,34.346,55.211,Majority white
450750105003,23.429,21.246,0.417,10.707,55.799,12.521,19.8,55.194,Majority white
131930004005,17.761,22.76,0.348,22.27,63.139,11.262,32.623,55.084,Majority white
371859502011,28.353,4.4,9.39,13.045,55.188,18.928,25.639,55.009,Majority white
132099502002,38.945,14.376,0.266,7.474,61.061,14.071,25.985,54.992,Majority white
450539503021,32.419,21.17,0.075,15.572,69.236,23.034,27.909,54.957,Majority white
370610908042,11.351,30.407,1.326,10.983,54.067,24.584,23.672,54.913,Majority white
450539503012,27.365,47.115,1.26,9.558,85.298,9.249,41.174,54.885,Majority white
450119701012,29.275,13.751,0.213,11.065,54.304,14.426,25.78,54.868,Majority white
370690604041,19.964,7.232,14.668,11.608,53.472,21.66,31.26,54.771,Majority white
370999402004,5.871,0.084,81.999,0.763,88.717,9.465,82.173,54.743,Majority white
450570102012,30.305,2.958,10.208,16.333,59.804,20.859,34.244,54.651,Majority white
371459204001,6.402,0.076,45.179,4.116,55.773,31.783,39.005,54.299,Majority white
130790701003,33.851,11.992,2.847,28.385,77.075,6.453,28.704,54.153,Majority white
450190025032,2.688,41.753,1.981,5.342,51.764,27.919,20.757,54.025,Majority white
371379501041,10.273,31.056,2.748,10.625,54.702,11.744,23.749,53.931,Majority white
450310101004,16.154,22.29,1.644,11.459,51.547,32.605,29.624,53.901,Majority white
130690103021,32.307,19.075,0.454,6.132,57.968,11.833,20.026,53.846,Majority white
450439208002,35.831,41.753,0.159,5.183,82.926,5.793,42.961,53.816,Majority white
133019705001,52.634,3.575,4.807,16.659,77.675,11.522,36.123,53.712,Majority white
371779601002,16.753,19.066,8.481,9.478,53.778,13.761,28.764,53.692,Majority white
450750120004,34.948,12.663,0.535,10.966,59.112,21.163,27.485,53.642,Majority white
370919501021,22.879,22.862,7.412,8.804,61.957,5.663,37.338,53.581,Majority white
130339509001,26.382,17.407,0.155,13.156,57.1,8.132,18.796,53.549,Majority white
370630017062,18.554,0.86,19.342,18.267,57.023,35.317,66.853,53.45,Majority white
132639601002,34.817,2.649,21.725,23.725,82.916,8.086,37.266,53.445,Majority white
371639710021,15.69,16.424,1.294,25.598,59.006,11.037,25.278,53.426,Majority white
133170103024,48.29,3.736,5.945,15.102,73.073,14.863,35.067,53.392,Majority white
371819610004,18.492,6.026,28.346,9.497,62.361,21.679,38.986,53.333,Majority white
450559705001,50.519,2.605,0.016,3.94,57.08,35.59,19.685,53.271,Majority white
370510036021,49.496,8.744,1.13,10.318,69.688,21.995,48.648,53.106,Majority white
450310101003,23.609,34.544,1.33,12.772,72.255,5.221,37.247,53.054,Majority white
450119703004,38.957,11.652,2.376,3.513,56.498,15.042,22.866,52.933,Majority white
132599504001,42.087,4.624,1.564,34.368,82.643,4.396,32.914,52.787,Majority white
450499202013,49.585,16.228,0.264,3.835,69.912,11.591,26.576,52.639,Majority white
371559601023,13.681,34.467,0.053,7.291,55.492,41.811,23.302,52.632,Majority white
450410019011,21.482,27.914,3.719,10.669,63.784,10.657,32.842,52.623,Majority white
130390103021,9.35,35.875,0.628,11.862,57.715,34.902,30.59,52.554,Majority white
371859501031,37.358,6.435,9.819,22.469,76.081,7.89,37.1,52.522,Majority white
131999707011,36.016,2.728,18.934,9.288,66.966,19.478,30.986,52.24,Majority white
132399603001,42.95,6.051,0.566,25.021,74.588,6.298,31.391,52.23,Majority white
370479306002,10.253,29.055,0.052,11.844,51.204,14.308,24.162,52.222,Majority white
450379704002,40.711,4.045,0.349,5.827,50.932,25.741,27.102,52.168,Majority white
132890602004,36.171,4.846,1.58,25.07,67.667,8.683,33.987,52.161,Majority white
450899703005,35.427,18.965,1.678,9.082,65.152,11.515,30.523,52.135,Majority white
450279602011,21.344,33.984,0.924,6.544,62.796,7.519,26.975,52.045,Majority white
370510023022,43.601,0.91,0.646,6.153,51.31,44.08,27.365,51.946,Majority white
371570413004,8.582,0.939,37.483,3.94,50.944,33.406,27.42,51.901,Majority white
450559707002,31.519,14.206,0.089,4.337,50.151,27.525,26.694,51.857,Majority white
133039507001,42.779,10.125,0.7,25.608,79.212,6.311,33.671,51.849,Majority white
370650207002,8.625,14.155,1.031,26.224,50.035,8.417,26.578,51.81,Majority white
130790701002,28.243,4.546,7.074,36.106,75.969,7.926,30.453,51.798,Majority white
450190022001,15.454,24.202,2.824,11.86,54.34,25.343,28.929,51.733,Majority white
130210139001,9.255,42.635,0.498,19.9,72.288,22.049,48.589,51.619,Majority white
370479306001,4.218,46.298,0.005,6.111,56.632,16.845,25.902,51.559,Majority white
131719702023,24.765,4.641,24.878,2.77,57.054,36.474,35.759,51.438,Majority white
450499202023,29.279,27.577,0.612,4.326,61.794,24.427,32.089,51.426,Majority white
