GEOID,coniferPct,ripariaPct,hardwooPct,coniHarPct,devPct,sumCarPeKm,pct_nonWhi,categ
130950107021,10.168,1.071,1.464,4.759,72.372,8.38,86.643,Majority Minority
130950107011,0.072,0.145,0,0,94.689,8.952,88.494,Majority Minority
130950106023,14.395,4.021,0.468,0.102,41.453,8.127,95.581,Majority Minority
130950001012,0,0,0,0,99.668,2.361,89.592,Majority Minority
130950001011,0,0,0,0,100.344,2.235,92.958,Majority Minority
130950002003,0.351,0,0.201,0.652,97.968,9.921,94.112,Majority Minority
130950005013,0.064,0.064,0,0,98.972,18.006,73.737,Majority Minority
130950014033,8.532,7.055,5.386,21.736,51.194,11.133,95.342,Majority Minority
130950005011,0.206,0.412,0,0,97.739,19.127,41.012,Majority white
130950001021,6.77,0.686,1.83,3.66,84.262,9.261,74.535,Majority Minority
130950001022,1.062,0,0,0,95.041,13.776,86.235,Majority Minority
132250401042,1.066,1.722,0,1.499,48.367,7.798,27.215,Majority white
130950104022,3.962,9.793,0.095,2.594,66.015,23.622,88.303,Majority Minority
130950001013,0,0,0,0,98.09,5.449,92.243,Majority Minority
130950001023,0,0,0,0,98.894,22.469,79.637,Majority Minority
132250401031,11.114,0.294,0.588,0.463,52.657,9.944,27.547,Majority white
132250401032,3.729,1.917,0.279,6.325,62.593,11.848,40.913,Majority white
132250403022,38.142,6.995,0.887,9.844,17.791,17.638,77.57,Majority Minority
132250401052,9.673,1.418,0.655,4.872,32.478,12.288,20.327,Majority white
132250401051,22.082,3.307,0.172,4.205,42.68,20.778,14.937,Majority white
132250401012,17.515,8.195,1.151,3.604,41.594,20.563,20.311,Majority white
132250402003,0,0,0,0,83.948,1.125,96.136,Majority Minority
132250404002,0,0,0,0,98.398,0.372,88.949,Majority Minority
132250402004,14.458,6.404,0.571,10.958,16.759,16.235,32.994,Majority white
132250401041,18.271,8.387,0.103,6.819,55.923,20.621,17.758,Majority white
132250404003,13.572,0.285,1.116,4.663,55.471,8.129,97.293,Majority Minority
132250404001,0,0,0,0,72.588,1.062,98.496,Majority Minority
132171008011,22.586,2.576,22.087,5.082,42.302,40.308,33.147,Majority white
132171007021,32.207,5.823,12.89,10.013,30.525,29.942,42.717,Majority white
132171009051,4.768,1.047,17.494,3.48,64.259,24.894,51.21,Majority white
132171005071,0.117,0,8.156,1.544,88.348,23.556,72.445,Majority Minority
132171005033,6.625,0.196,12.858,3.136,71.619,14.482,46.194,Majority white
132171009043,20.41,8.073,16.885,2.795,34.83,30.744,39.067,Majority white
132171001022,23.036,9.26,20.968,3.778,29.133,31.907,30.311,Majority white
132171001013,19.168,0.392,15.628,4.283,36.922,23.464,31.07,Majority white
132171003023,1.294,0,0.294,1.117,95.957,3.737,13.754,Majority white
132171001012,21.4,2.115,19.663,2.904,34.252,27.109,11.449,Majority white
132171003021,0.195,0,4.676,5.143,88.608,20.63,24.796,Majority white
132171005042,1.139,0.088,0.789,0.263,86.937,12.941,87.925,Majority Minority
132171005041,0,0,0,0,98.805,12.144,80.073,Majority Minority
132171003013,6.088,10.051,6.907,1.904,64.578,28.411,64.079,Majority white
132171008021,6.206,3.039,15.666,1.954,58.218,33.968,35.524,Majority white
132171007012,1.607,2.096,8.593,9.361,77.756,25.857,84.328,Majority Minority
132171005053,0.377,0,4.895,1.271,78.737,18.532,79.466,Majority Minority
132171005043,0.39,0,10.127,1.85,80.775,16.922,88.503,Majority Minority
132171002023,19.167,2.151,14.311,9.4,20.441,20.436,9.06,Majority white
132171009052,19.329,4.322,17.259,2.337,47.73,37.699,53.76,Majority white
132171009041,12.208,2.093,21.885,3.549,49.879,29.906,61.025,Majority white
132171001011,18.788,0.951,18.057,3.182,43.555,26.566,11.95,Majority white
132171009053,7.246,0.715,14.809,3.424,64.113,27.037,42.108,Majority white
132171008022,22.02,6.133,21.522,12.974,25.686,34.126,28.36,Majority white
132171009033,0.053,0,7.211,0.748,87.759,8.113,86.1,Majority Minority
132171009023,0.938,1.03,13.115,4.382,70.016,20.448,56.236,Majority white
130459112011,21.014,2.701,17.596,5.724,19.496,20.711,11.303,Majority white
130459106004,18.342,7.147,20.714,5.235,23.825,29.16,9.78,Majority white
130459105032,11.663,0.814,15.413,4.579,49.365,25.443,51.797,Majority white
130459101062,9.025,0.119,19.664,3.078,52.004,24.89,18.29,Majority white
130459106001,9.682,9.511,20.438,4.623,44.13,32.324,50.1,Majority white
130459106005,6.215,11.958,8.776,3.431,44.152,17.701,28.55,Majority white
130459111021,15.569,5.767,9.47,4.252,41.433,22.347,13.791,Majority white
130459111013,2.52,1.498,12.09,3.814,63.413,19.556,35.175,Majority white
130459107081,0.069,0.161,3.582,1.446,77.812,16.593,20.822,Majority white
130459107051,11.46,4.51,13.028,9.34,50.993,21.971,48.381,Majority white
130459111011,0.783,3.269,3.269,3.473,89.068,15.321,12.268,Majority white
130459110022,17.181,1.033,25.065,4.264,35.72,30.486,21.724,Majority white
130459111022,15.576,11.298,13.991,5.722,21.812,22.044,10.656,Majority white
130459111014,0,0,1.866,1.322,95.969,12.262,12.566,Majority white
130459110021,0.059,0.059,6.468,6.23,85.088,12.856,53.483,Majority white
130459111012,9.43,1.545,8.476,11.089,56.469,16.684,31.897,Majority white
130459107082,12.778,0.093,10.516,4.57,65.591,19.048,38.811,Majority white
132190302011,4.187,1.826,27.408,7.581,55.512,40.295,24.041,Majority white
132190301043,1.802,0,10.81,5.268,77.532,27.61,15.457,Majority white
132190302021,9.103,2.728,10.646,3.507,57.564,23.643,10.345,Majority white
132190301032,10.107,2.11,11.469,4.334,65.247,31.238,17.995,Majority white
132190301031,16.024,3.509,16.92,10.133,48.533,32.404,15.439,Majority white
132190304021,17.568,1.657,20.15,7.645,30.822,28.539,10.418,Majority white
132190304011,12.955,0.723,11.312,6.546,44.429,20.29,4.66,Majority white
132150101083,0,0,0,1.865,97.605,19.376,62.853,Majority white
132150101111,5.833,1.872,1.394,12.02,70.693,34.982,40.331,Majority white
132150107042,0,0,0,0,99.524,8.863,90.421,Majority Minority
130459105043,0,0,3.059,0,97.326,11.061,46.814,Majority white
130459101052,14.9,0.023,28.106,3.059,46.521,32.428,17.504,Majority white
132190304022,11.913,2.015,28.471,14.801,32.56,40.646,8.295,Majority white
132190301044,21.351,7.32,15.211,4.45,31.496,25.747,14.549,Majority white
132190301011,20.073,5.636,18.083,10.44,21.862,31.008,3.33,Majority white
132190301042,5.042,0,11.116,3.52,68.075,19.917,14.88,Majority white
132190301021,17.917,5.029,17.666,4.067,35.254,20.555,11.036,Majority white
132150107052,0.991,0.09,0,0.451,98.243,14.411,87.628,Majority Minority
132150029023,0.804,0.107,0.107,2.091,94.945,9.013,93.54,Majority Minority
132150101113,17.808,3.565,7.413,30.614,28.24,42.732,24.908,Majority white
132150107051,0.507,0.688,0.145,11.994,83.666,20.215,83.878,Majority Minority
132150027002,0.407,1.784,0,1.596,94.398,7.07,89.544,Majority Minority
132150103032,1.024,0.234,2.12,4.664,90.378,21.244,21.319,Majority white
132150103041,1.538,0.068,1.108,6.038,90.141,12.938,30.405,Majority white
132150103031,0.965,0,2.085,2.316,94.387,27.323,23.243,Majority white
132150101082,0,0,0,1.542,98.168,35.121,56.176,Majority white
132150101112,9.036,2.777,10.806,5.486,64.862,45.989,29.991,Majority white
132150102071,4.596,0.287,2.298,2.421,90.239,29.537,21.056,Majority white
132150034003,0.106,0,0,0.319,99.442,11.273,78.378,Majority Minority
132150102091,0.346,0.154,0.884,2.692,95.052,12.774,16.387,Majority white
132150102083,1.174,0,4.903,3.591,88.47,31.969,29.486,Majority white
132150102081,0.604,0,0.604,0.251,95.468,21.254,28.328,Majority white
132150102092,18.777,0.896,18.871,10.376,44.784,36.052,35.942,Majority white
132150102061,10.941,2.925,19.816,15.459,44.325,38.04,32.551,Majority white
132150107041,0,0,0,0,100.951,10.252,92.747,Majority Minority
132150102062,0.459,0,1.761,1.608,95.493,23.663,36.263,Majority white
132150029013,0,0,0,0,99.12,7.466,85.404,Majority Minority
